spirit,total
Advocaat,1.0
Amaretto,19.0
Blue Curacao,1.0
Bourbon,7.0
Brandy,13.0
Champagne,4.0
Cherry Heering,1.0
Cognac,2.0
Cointreau,2.0
Everclear,3.0
Frangelico,1.0
Galliano,3.0
Gin,70.0
Goldschlager,2.0
Grand Marnier,1.0
Green Chartreuse,1.0
Hpnotiq,1.0
Kahlua,16.0
Mezcal,1.0
Ouzo,1.0
Rum,18.0
Sambuca,5.0
Southern Comfort,3.0
Tequila,15.0
Vermouth,2.0
Vodka,56.0
Whiskey,3.0
Yukon Jack,1.0
Amaretto,17.0
Anisette,2.0
Benedictine,4.0
Blue Curacao,4.0
Bourbon,4.0
Brandy,8.0
Champagne,4.0
Cognac,1.0
Cointreau,2.0
Drambuie,2.0
Everclear,1.0
Frangelico,1.0
Galliano,4.0
Gin,21.0
Goldschlager,2.0
Grand Marnier,7.0
Green Chartreuse,3.0
Kahlua,9.0
Melon Liqueur,1.0
Ouzo,1.0
Pisang Ambon,2.0
Rum,2.0
Sambuca,4.0
Southern Comfort,3.0
Tequila,7.0
Triple Sec,3.0
Vermouth,1.0
Vodka,19.0
Advocaat,1.0
Amaretto,5.0
Benedictine,3.0
Blue Curacao,6.0
Bourbon,2.0
Brandy,1.0
Champagne,1.0
Cherry Heering,1.0
Cognac,2.0
Cointreau,1.0
Creme De Banane,1.0
Curacao,1.0
Frangelico,2.0
Galliano,1.0
Gin,7.0
Goldschlager,2.0
Grand Marnier,1.0
Green Chartreuse,1.0
Kahlua,4.0
Kummel,1.0
Rum,2.0
Rumple Minze,1.0
Sambuca,1.0
Southern Comfort,2.0
Tequila,5.0
Triple Sec,1.0
Vodka,11.0
Yellow Chartreuse,2.0
Blue Curacao,2.0
Bourbon,2.0
Brandy,2.0
Champagne,2.0
Gin,3.0
Grand Marnier,1.0
Jagermeister,1.0
Rum,2.0
Tequila,2.0
Triple Sec,1.0
Vodka,4.0
Bourbon,2.0
Brandy,1.0
Champagne,1.0
Cognac,1.0
Cointreau,1.0
Goldschlager,1.0
Tequila,1.0
Triple Sec,1.0
Vodka,2.0
Amaretto,1.0
Benedictine,1.0
Brandy,1.0
Champagne,1.0
Rum,2.0
Vodka,2.0
Brandy,2.0
Vodka,1.0
