spirit,abv
Advocaat,17
Aftershock,30
Aftershock Cinnamon Schnapps,40
Aftershock Cool Citrus Mint Schnapps,40
Aguardiente,30
Amadeus,5
Amaretto,28
Amaretto Di Saronno,28
Amaro,17
Amarula,17
American Schnapps,40
Anis Del Toro,30
Anisette,30
Arak,50
Ashanti Gold,17
Aurum,40
Baijiu,47
Baileys Irish Cream,17
Becherovka,38
Beirao,22
Benedictine,40
Blue Curacao,30
Bourbon,65
Brandy,42
Barenjager,35
Calisay,20
Canton,28
Chambord,17
Champagne,12
Chartreuse,55
Cherry Heering,22
Cloudberry Liqueur,25
Coconut Rum,21
Cognac,40
Cointreau,40
Creme De Banane,30
Creme De Cacao,25
Creme De Cassis,20
Creme De Cerise,20
Creme De Menthe,25
Creme De Myrtille,20
Creme De Noyaux,30
Creme De Rose,18
Creme De Violette,25
Creme De Y'Vette,28
Curacao,30
Cynar,17
Damiana,50
Destinee,17
Drambuie,40
Drumgray Highland Cream Liqueur,17
Dry Orange Curacao,30
Durango,9
Everclear,85
Framboise,5
Frangelico,24
Frigola,25
Galliano,35
German Schnapps,30
Gin,37
Godiva Chocolate Liqueurs,17
Goldschlager,44
Goldwasser,40
Grand Mariner,40
Grand Marnier,40
Grappa,47
Green Chartreuse,55
Green Curacao,30
Herbsaint,30
Highland Mist,20
Hpnotiq,18
Irish Cream,17
Izarra,48
Jagermeister,35
Kahlua,27
Krupnik,40
Kummel,38
Lazzaroni Amaretto,24
Licor 43,31
Limoncello,32
Malibu,24
Maraschino,40
Mastica,47
Melon Liqueur,23
Metaxa,40
Mezcal,55
Midori,23
Mozart Chocolate Liqueurs,20
Nocello,24
Nocino,35
Oghi,53
Ouzo,40
Parfait Amour,30
Pastis,43
Patxaran,30
Peach Liqueur,23
Peach Schnapps,23
Pecher Mignon,18
Pineau Des Charentes,15
Pisang Ambon,21
Ponche Caribe,11
Ponche Crema,15
Ponche Diva,10
Ponche Kuba,9
Prunelle,15
Raki,45
Red Curacao,31
Rock And Rye,27
Rum,47
Rum Tree,24
Rumple Minze,50
Sabra Liqueur,27
Saint Brendan'S,17
Sake,15
Salmiakkikossu,40
Sambuca,40
Sheridan'S,16
Sloe Gin,26
Southern Comfort,35
Starbucks Coffee Liqueur,20
Starbucks Cream Liqueur,15
Strega,40
Tequila,45
Tia Lusso (With Cream),27
Tia Maria,27
Triple Sec,30
Tsipouro,40
Vandermint,26
Vermeer Dutch Chocolate Cream Liqueur,17
Vermouth,19
Vodka,42
Wallace Liqueur,35
Whiskey,46
Xtabentun,40
Yellow Chartreuse,40
Yellow Curacao,31
Yukon Jack,50
